id	naam	provincie	gemeente	is_vastgesteld	is_beschermd	datering	gebeurtenissen	disciplines	dataverantwoordelijke
99018	Nautil	Onbepaald	Onbepaald	False	False	interbellum	Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
99063	P904 Sambre	Onbepaald	Onbepaald	True	False	na WO II	Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
99087	SeaSens	Onbepaald	Onbepaald	True	False	interbellum	Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
99091	Avila	Onbepaald	Onbepaald	True	False	na WO II	Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
99104	Mattheus	Onbepaald	Onbepaald	True	False	interbellum	Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
99105	Maaike	Onbepaald	Onbepaald	False	False	voor WO I	Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
99107	Willebroek	Onbepaald	Onbepaald	False	False	na WO II	Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
99166	L'Enfant Gâté	Onbepaald	Onbepaald	False	False	na WO II	Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
307863	Picora	Onbepaald	Onbepaald	False	False	voor WO I	Onderzoeksproject sleep- en werkschepen	Varend	Agentschap Onroerend Erfgoed
99187	Motorspits Esmeralda	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	True	WO II	Ad hoc beschermingen 2022, Inventarisatie varend erfgoed fase I	Varend	Agentschap Onroerend Erfgoed
84	Heilige Geestkapel	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	True	derde kwart 15de eeuw, voor WO I	Actualisatie inventaris bouwkundig erfgoed, Inventarisatie bouwkundig erfgoed Aalst, Project beschermingsdatabank 2013-2016	Bouwkundig	Agentschap Onroerend Erfgoed
135205	Honegem - Solegem	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	True	19de eeuw, tweede helft 18de eeuw	Inventarisatie ankerplaatsen Landschapsatlas 2001, Project beschermingsdatabank 2013-2016	Landschappelijk	Agentschap Onroerend Erfgoed
135392	Kluisbos, Faluintjes en Abdij van Affligem	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	True          Onbepaald	Aanduiding ankerplaatsen 2006-2014, Integreren informatie beschermingen landschap in erfgoedobjecten, Inventarisatie ankerplaatsen Landschapsatlas 2001	Landschappelijk	Agentschap Onroerend Erfgoed
140017	Historische stadskern van Aalst	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	middeleeuwen, nieuwe tijd	AZ-project historische stadskernen	Archeologisch	Agentschap Onroerend Erfgoed
301912	Opgaande zilverlinde in stadstuin	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False         Onbepaald	Ad hoc-inventarisatie landschappelijk erfgoed 2015	Landschappelijk	Agentschap Onroerend Erfgoed
135121	Kravaalbos en omgeving	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	True	middeleeuwen	Inventarisatie ankerplaatsen Landschapsatlas 2001, Project beschermingsdatabank 2013-2016	Landschappelijk	Agentschap Onroerend Erfgoed
300522	Geknotte zomereik als hoekboom	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	Onbepaald	Project beschermingsdatabank 2013-2016	Landschappelijk	Agentschap Onroerend Erfgoed
135123	Welle- en Kapellemeersen	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	True	Onbepaald	Inventarisatie ankerplaatsen Landschapsatlas 2001, Inventarisatie Dendervallei tussen Ninove en Geraardsbergen, Project beschermingsdatabank 2013-2016	Landschappelijk	Agentschap Onroerend Erfgoed
